brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
MIZUNO,Tênis Running Masculino Mizuno Enigma Original Azul,493,99,49,40,,
UNDER ARMOUR,Under Armour Spawn 3 Masculino Adultos,359,90,323,91,,
MIZUNO,Mizuno Wave Dynasty 5 Masculino Adultos,296,89,32,,4.7,(881)
ASICS,Tênis Asics Masculino Feminino Varias Cores Do 34 Ao 43,96,49,9,38,4.1,(459)
WM,Tenis Masculino Feminino Olimp Exclusivo Pronta Entrega,99,99,9,72,,
,Tênis Zoom Fitness Masculino Esportivo Promoção Confortável,78,90,49,70,4.3,(57)
OLYMPIKUS,Tênis Masculino Olympikus Rayo Original,269,99,191,08,5.0,(2)
ADIDAS,Tênis Masculino Lite Racer 3.0 adidas Oferta,299,99,221,34,4.7,(763)
FILA,Tênis Fila Racer Carbon 2 Masculino Verde,1.099,64,106,,,
OLYMPIKUS,Tênis Olympikus Diffuse 5 Masculino,216,90,30,99,,
,Tênis Advanced Masculino Adulto Leve Ultra Confortável Ga060,78,90,7,67,4.9,(7)
ADAPTION,Adaption Limited Masculino Adultos,72,99,7,09,4.4,(462)
OLYMPIKUS,Tênis Masculino De Corrida Olympikus Challenger 4,279,36,27,08,,
,"Tenis New Luxxor Masculino Academia Caminhada Corrida,",54,90,46,66,4.2,(2502)
FILA,Tênis Fila F Virtuous Masculino,409,90,40,99,,
OLYMPIKUS,Tênis Olympikus Triunfo 3 Masculino Cinza,209,90,34,98,,
OLYMPIKUS,Tenis Masculino Olympikus Poseidon Confortavel - Original,220,22,189,38,4.7,(175)
OLYMPIKUS,Tênis Olympikus Aquarius Masculino Adulto Corrida Treino,237,49,169,90,4.8,(42)
FILA,Tênis Fila Racer Nairobi Novo Lançamento Corrida Running ,379,99,36,84,,
FILA,Tênis Fila Venture Tracer Masculino Esportivo,444,33,44,43,,
FILA,Tênis Fila Kr6,399,90,39,99,,
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,151,99,4.7,(1698)
ELLUS,Tênis Ellus Masculino Ray Preto,569,99,469,99,,
FILA,Tênis Fila Racer Gripper Masculino Original,329,99,232,53,,
